"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AES1",6.96312134677349e-29,0.673418888271449,0.742,0.438,9.54922461496517e-25,"2","AES"
"MYL12A",9.25667614898752e-29,0.44455484904248,0.977,0.852,1.26946056707215e-24,"2","MYL12A"
"ANXA1",2.22923206884384e-28,0.630129538651651,0.805,0.547,3.05716885921244e-24,"2","ANXA1"
"JUN1",2.27066876110353e-28,0.586375226452302,0.899,0.708,3.11399513897738e-24,"2","JUN"
"TMEM661",2.98775942563513e-28,0.531052947216831,0.92,0.698,4.09741327631601e-24,"2","TMEM66"
"JUNB1",4.74015755126487e-28,0.522260331795737,0.975,0.891,6.50065206580464e-24,"2","JUNB"
"RPS291",6.30460276982409e-28,0.403267920256331,0.987,0.914,8.64613223853675e-24,"2","RPS29"
"ARHGAP15",2.77556823131594e-27,0.63284358406774,0.483,0.231,3.80641427242668e-23,"2","ARHGAP15"
"LCK1",4.65019251151082e-27,0.600009257401962,0.607,0.307,6.37727401028594e-23,"2","LCK"
"HINT11",5.29924619430823e-27,0.4942716929097,0.842,0.598,7.2673862308743e-23,"2","HINT1"
"EVL1",1.13772931598816e-26,0.584017467828856,0.748,0.485,1.56028198394616e-22,"2","EVL"
"NOSIP1",1.2451067051977e-26,0.587601875099268,0.666,0.377,1.70753933550812e-22,"2","NOSIP"
"CD3G1",1.48496511629219e-26,0.619695930024635,0.42,0.175,2.03648116048311e-22,"2","CD3G"
"LAT1",2.94635111932595e-26,0.662447085752558,0.416,0.177,4.04062592504361e-22,"2","LAT"
"RPL361",3.64230443531331e-26,0.349073817875809,0.998,0.95,4.99505630258867e-22,"2","RPL36"
"RPS27A1",2.91279664020603e-25,0.349483996210225,1,0.968,3.99460931237854e-21,"2","RPS27A"
"MAL1",1.93240641797763e-24,0.671871617753433,0.282,0.101,2.65010216161453e-20,"2","MAL"
"HLA-A",3.50494606126069e-24,0.308043987637748,0.998,0.958,4.80668302841291e-20,"2","HLA-A"
"RPS181",3.52440774616572e-24,0.263198604599595,0.998,0.997,4.83337278309167e-20,"2","RPS18"
"EEF1A11",3.62280382836561e-24,0.297222132092461,1,0.99,4.9683131702206e-20,"2","EEF1A1"
"RPS101",6.16113591300649e-24,0.308639712511511,0.998,0.969,8.44938179109711e-20,"2","RPS10"
"PLP2",7.07820634876229e-24,0.625239857599579,0.536,0.301,9.7070521866926e-20,"2","PLP2"
"VIM1",1.81957047111496e-23,0.39955005399455,0.947,0.769,2.49535894408705e-19,"2","VIM"
"ITM2A",4.13250634090923e-23,0.497804709111309,0.269,0.096,5.66731919592292e-19,"2","ITM2A"
"OPTN",4.21401212941015e-23,0.721579852006893,0.294,0.11,5.77909623427308e-19,"2","OPTN"
"FLT3LG1",1.00034916431081e-22,0.53344523825302,0.336,0.137,1.37187884393585e-18,"2","FLT3LG"
"RPS15A1",1.37765880169428e-22,0.295168101775386,0.998,0.984,1.88932128064354e-18,"2","RPS15A"
"RPL141",2.258411572578e-22,0.28058321819149,0.998,0.985,3.09718563063347e-18,"2","RPL14"
"RPL27A1",3.1798650696977e-22,0.276564148618603,1,0.988,4.36086695658342e-18,"2","RPL27A"
"RPL301",3.82586217876381e-22,0.305731253178714,1,0.981,5.24678739195668e-18,"2","RPL30"
"SIT1",3.84228272005104e-22,0.574442576063358,0.292,0.111,5.269306522278e-18,"2","SIT1"
"RPL33",1.22355525729727e-21,0.277796463508998,1,0.995,1.67798367985748e-17,"2","RPL3"
"TNFAIP8",2.10321286354318e-21,0.638206659059285,0.441,0.215,2.88434612106311e-17,"2","TNFAIP8"
"RPL23A1",3.10247537329549e-21,0.276396536966357,1,0.989,4.25473472693743e-17,"2","RPL23A"
"RPLP21",6.29740364485091e-21,0.262986367408535,1,0.991,8.63625935854854e-17,"2","RPLP2"
"GSTK1",9.18209906590769e-21,0.582504199950854,0.744,0.511,1.25923306589858e-16,"2","GSTK1"
"RGCC1",1.29161499161682e-20,0.572634249385866,0.399,0.193,1.77132079950331e-16,"2","RGCC"
"CORO1B",2.64914256226734e-20,0.886773880712281,0.305,0.136,3.63303410989343e-16,"2","CORO1B"
"PBXIP1",2.75631588606688e-20,0.531403458882856,0.311,0.13,3.78001160615212e-16,"2","PBXIP1"
"RPS271",2.96864703739596e-20,0.27670601784722,1,0.992,4.07120254708482e-16,"2","RPS27"
"FXYD5",5.0053333260404e-20,0.559284505093521,0.891,0.702,6.8643141233318e-16,"2","FXYD5"
"NPM11",9.00850234957001e-20,0.340155016403525,0.937,0.806,1.23542601222003e-15,"2","NPM1"
"SUSD3",1.06440779837399e-19,0.692733617742094,0.277,0.114,1.45972885469009e-15,"2","SUSD3"
"RPS201",3.46716802684966e-19,0.30571610552533,0.996,0.945,4.75487423202163e-15,"2","RPS20"
"ZFP36L21",6.25773764152744e-19,0.523032780387717,0.819,0.616,8.58186140159073e-15,"2","ZFP36L2"
"GIMAP51",7.33185885705405e-19,0.592074803423783,0.462,0.247,1.00549112365639e-14,"2","GIMAP5"
"CALM1",7.90750439118597e-19,0.416384333055487,0.834,0.643,1.08443515220724e-14,"2","CALM1"
"RPL311",8.77586464138784e-19,0.283977685137018,0.998,0.967,1.20352207691993e-14,"2","RPL31"
"ALOX5AP",1.6497666699014e-18,0.412904853561662,0.408,0.197,2.26249001110278e-14,"2","ALOX5AP"
"PPP2R5C",5.41676458753497e-18,0.676030447547796,0.405,0.208,7.42855095534546e-14,"2","PPP2R5C"
"YWHAQ",8.62019746680801e-18,0.543810769376032,0.464,0.251,1.18217388059805e-13,"2","YWHAQ"
"HSPA81",1.29113265009282e-17,0.438743335670879,0.84,0.639,1.77065931633729e-13,"2","HSPA8"
"IFITM1",3.16806607044518e-17,0.487716671229502,0.662,0.436,4.34468580900852e-13,"2","IFITM1"
"IL2RG",3.39532005731067e-17,0.379862300687921,0.649,0.395,4.65634192659585e-13,"2","IL2RG"
"ACAP11",5.32948200215383e-17,0.307864295608575,0.496,0.26,7.30885161775376e-13,"2","ACAP1"
"RPL36A1",6.89129898863591e-17,0.314040779492915,0.964,0.895,9.45072743301529e-13,"2","RPL36A"
"CD52",1.05198082955298e-16,0.326156953971358,0.979,0.877,1.44268650964896e-12,"2","CD52"
"RPSAP581",1.93353427657421e-16,0.399250828294442,0.863,0.708,2.65164890689387e-12,"2","RPSAP58"
"GIMAP4",2.76134583583099e-16,0.687604339494126,0.637,0.42,3.78690967925862e-12,"2","GIMAP4"
"CRIP11",8.44964028713565e-16,0.431551796102191,0.55,0.331,1.15878366897778e-11,"2","CRIP1"
"TNFAIP3",1.69816206553049e-15,0.596122629691481,0.288,0.133,2.32885945666852e-11,"2","TNFAIP3"
"PEBP11",2.36014847321229e-15,0.488372401523695,0.553,0.344,3.23670761616334e-11,"2","PEBP1"
"CD691",2.40249763773064e-15,0.594627874161489,0.527,0.324,3.2947852603838e-11,"2","CD69"
"ARL6IP5",4.40838569215948e-15,0.378198805522928,0.632,0.417,6.04566013822751e-11,"2","ARL6IP5"
"OCIAD21",5.86271991699621e-15,0.566323265572552,0.378,0.193,8.04013409416861e-11,"2","OCIAD2"
"LEF11",8.68753697259998e-15,0.40390468191385,0.294,0.137,1.19140882042236e-10,"2","LEF1"
"ITM2B",9.19013086909012e-15,0.318397254112231,0.914,0.766,1.26033454738702e-10,"2","ITM2B"
"MZT2A1",9.72985062319918e-15,0.572221268058419,0.418,0.227,1.33435171446554e-10,"2","MZT2A"
"LIMS1",1.22587245288674e-14,0.460071403659494,0.273,0.13,1.68116148188888e-10,"2","LIMS1"
"RPL171",1.33816144276995e-14,0.272089604358192,0.992,0.956,1.8351546026147e-10,"2","RPL17"
"RPS261",3.48548266157314e-14,0.261222439991432,0.992,0.898,4.77999092208141e-10,"2","RPS26"
"FOS",4.51768602010775e-14,0.304194327138839,0.973,0.908,6.19555460797577e-10,"2","FOS"
"RPS211",5.92603932554906e-14,0.282832336086878,0.962,0.844,8.12697033105799e-10,"2","RPS21"
"SEPT11",6.74008019608236e-14,0.372608304566857,0.378,0.201,9.24334598090734e-10,"2","SEPT1"
"FYB1",6.87683440269488e-14,0.409826590744337,0.523,0.336,9.43089069985576e-10,"2","FYB"
"TMEM1231",9.95371460628803e-14,0.341117531125402,0.599,0.39,1.36505242110634e-09,"2","TMEM123"
"TXN",2.89148395853677e-13,0.390644419353284,0.328,0.173,3.96538110073732e-09,"2","TXN"
"ISG20",3.77061470150811e-13,0.360050942398533,0.647,0.421,5.17102100164823e-09,"2","ISG20"
"PIK3IP11",7.25501093079553e-13,0.433188146142776,0.393,0.221,9.949521990493e-09,"2","PIK3IP1"
"PRKCQ-AS11",1.13342491858138e-12,0.342630974600482,0.292,0.142,1.5543789333425e-08,"2","PRKCQ-AS1"
"TRAF3IP31",1.27775698967258e-12,0.330968195127016,0.651,0.445,1.75231593563698e-08,"2","TRAF3IP3"
"ILF3-AS1",1.45755898507331e-12,0.385623770938095,0.275,0.138,1.99889639212954e-08,"2","ILF3-AS1"
"TSTD1",1.84227927721664e-12,0.356153390556317,0.363,0.196,2.5265018007749e-08,"2","TSTD1"
"SOD11",4.23249187723682e-12,0.390711850235002,0.672,0.477,5.80443936044258e-08,"2","SOD1"
"PIM1",5.43050519917612e-12,0.342122104606863,0.309,0.158,7.44739483015014e-08,"2","PIM1"
"DNAJB11",8.82184336949805e-12,0.403250082387801,0.437,0.26,1.20982759969296e-07,"2","DNAJB1"
"ANKRD12",9.41232160359271e-12,0.398718991926528,0.439,0.26,1.2908057847167e-07,"2","ANKRD12"
"HNRNPF",2.09617370636167e-11,0.40951445778706,0.536,0.347,2.87469262090439e-07,"2","HNRNPF"
"DDX51",2.87028938060438e-11,0.304962162945397,0.916,0.791,3.93631485656085e-07,"2","DDX5"
"BIN1",3.72162241476458e-11,0.367249839409033,0.38,0.222,5.10383297960814e-07,"2","BIN1"
"TCF71",4.57635984545264e-11,0.515273152245288,0.353,0.207,6.27601989205376e-07,"2","TCF7"
"SOCS3",5.27907541238929e-11,0.401959626114064,0.284,0.152,7.23972402055067e-07,"2","SOCS3"
"RHOH1",2.06496253262785e-10,0.314091617463689,0.384,0.221,2.83188961724583e-06,"2","RHOH"
"RARRES3",2.19739177436675e-10,0.303007554423437,0.628,0.438,3.01350307936656e-06,"2","RARRES3"
"COX6C",3.29264257686717e-10,0.365972486151297,0.607,0.416,4.51553002991564e-06,"2","COX6C"
"TUBA4A",9.94434387739506e-10,0.344008700708162,0.37,0.225,1.36376731934596e-05,"2","TUBA4A"
"PDCD5",1.70892819979926e-09,0.441842365969214,0.286,0.165,2.3436241332047e-05,"2","PDCD5"
"PPA11",1.78121010625666e-09,0.417769187492251,0.45,0.286,2.44275153972039e-05,"2","PPA1"
"LEPROTL11",2.00814842625818e-09,0.481753882991562,0.378,0.234,2.75397475177047e-05,"2","LEPROTL1"
"HMGN1",2.66072230318437e-09,0.269336253605768,0.693,0.494,3.64891456658704e-05,"2","HMGN1"
"KLF61",2.75952368619492e-09,0.349981487785153,0.788,0.62,3.78441078324771e-05,"2","KLF6"
"MYL12B",2.88892280153524e-09,0.298812644929353,0.832,0.673,3.96186873002543e-05,"2","MYL12B"
"TOMM71",3.90757547642269e-09,0.26434209499651,0.899,0.753,5.35884900836608e-05,"2","TOMM7"
"ADD3",4.10599550963386e-09,0.305901466956647,0.298,0.17,5.63096224191188e-05,"2","ADD3"
"ABRACL",5.21867246920447e-09,0.311473382028358,0.405,0.255,7.15688742426701e-05,"2","ABRACL"
"TECR",5.78065442188318e-09,0.260996946989285,0.326,0.185,7.9275894741706e-05,"2","TECR"
"TSC22D3",6.24921571911184e-09,0.322890451615,0.849,0.732,8.57017443718997e-05,"2","TSC22D3"
"RAN",6.2627813607454e-09,0.317859040734353,0.613,0.456,8.58877835812624e-05,"2","RAN"
"SBDS",8.06110914026225e-09,0.32269119673623,0.309,0.184,0.000110550050749557,"2","SBDS"
"SKP1",8.93001491883618e-09,0.363153566805551,0.603,0.437,0.000122466224596919,"2","SKP1"
"CCNL1",1.5363550337647e-08,0.266730213816406,0.384,0.24,0.000210695729330491,"2","CCNL1"
"BTG21",1.75689186308415e-08,0.334026959790157,0.487,0.334,0.000240940150103361,"2","BTG2"
"RWDD1",1.93002114904532e-08,0.437346979155614,0.372,0.232,0.000264683100380075,"2","RWDD1"
"DSTN",2.20043629450681e-08,0.277630680890725,0.303,0.176,0.000301767833428664,"2","DSTN"
"SLC2A31",2.31820966374319e-08,0.614106018274823,0.355,0.229,0.000317919273285741,"2","SLC2A3"
"DUSP2",2.70732693464866e-08,0.295913115338854,0.376,0.234,0.000371282815817718,"2","DUSP2"
"SEPT9",2.97848939606602e-08,0.346864509269318,0.464,0.311,0.000408470035776494,"2","SEPT9"
"KARS",3.82517416882395e-08,0.329014347618532,0.303,0.184,0.000524584385512517,"2","KARS"
"BUB3",3.92514636604361e-08,0.257531284224426,0.317,0.191,0.000538294572639221,"2","BUB3"
"ABHD14B",7.28611733503383e-08,0.254643277509867,0.261,0.147,0.00099921813132654,"2","ABHD14B"
"MZT2B1",8.6502218499796e-08,0.29259905289403,0.502,0.349,0.0011862914245062,"2","MZT2B"
"PSMC5",1.96464527004501e-07,0.452979388715832,0.399,0.265,0.00269431452333973,"2","PSMC5"
"DDIT4",1.98364677656275e-07,0.390770250321391,0.319,0.201,0.00272037318937815,"2","DDIT4"
"LDHA",2.08115514664565e-07,0.276105040435644,0.611,0.467,0.00285409616810985,"2","LDHA"
"HSP90AA1",2.29467334705267e-07,0.298708241819607,0.658,0.511,0.00314691502814803,"2","HSP90AA1"
"NSMCE1",2.42180641730986e-07,0.444829931441476,0.275,0.172,0.00332126532069874,"2","NSMCE1"
"MIF",4.02106192048773e-07,0.304677460584807,0.532,0.389,0.00551448431775687,"2","MIF"
"IL10RA",5.63861867718522e-07,0.337101297839827,0.3,0.192,0.00773280165389182,"2","IL10RA"
"IER2",6.01834917796808e-07,0.35284440101375,0.752,0.611,0.00825356406266542,"2","IER2"
"CDC42SE2",6.04287942200929e-07,0.267663189762479,0.328,0.212,0.00828720483934354,"2","CDC42SE2"
"MYLIP",6.17704469901911e-07,0.2580424685048,0.269,0.164,0.0084711991002348,"2","MYLIP"
"TERF2IP",6.46294655883332e-07,0.250212955849979,0.328,0.208,0.00886328491078402,"2","TERF2IP"
"SNRPD21",7.96247398425377e-07,0.256743936902612,0.685,0.543,0.0109197368220056,"2","SNRPD2"
"DUT",8.89896023207105e-07,0.275771758761136,0.361,0.239,0.0122040340622622,"2","DUT"
"ACTG1",1.23726923686623e-06,0.264101242272849,0.935,0.848,0.0169679103143835,"2","ACTG1"
"RPL341",1.54668389403585e-06,0.250024819760856,0.939,0.903,0.0212112229228077,"2","RPL34"
"TAP1",1.69098273979624e-06,0.374940155855559,0.321,0.213,0.0231901372935656,"2","TAP1"
"SRSF7",8.61431193624861e-06,0.259008664930458,0.609,0.458,0.118136673893713,"2","SRSF7"
"GTF3A",1.12303939572921e-05,0.288339706298308,0.634,0.498,0.154013622730304,"2","GTF3A"
"MATR3",2.26151164261162e-05,0.265397108166865,0.263,0.174,0.310143706667757,"2","MATR3"
"HSPE1",2.40150420159028e-05,0.260940491278435,0.294,0.192,0.329342286206091,"2","HSPE1"
"CD47",3.27406614266788e-05,0.251093081544451,0.334,0.228,0.449005430805472,"2","CD47"
"TRMT112",5.46793718808091e-05,0.253974842752328,0.489,0.354,0.749872905973416,"2","TRMT112"
"TRAM1",8.06050166302019e-05,0.341058113115464,0.269,0.183,1,"2","TRAM1"
"KHDRBS1",0.000116057506902697,0.331856987960593,0.321,0.228,1,"2","KHDRBS1"
"EIF3E1",0.000124687219074294,0.250688149989444,0.468,0.355,1,"2","EIF3E"
"EWSR1",0.000165346909468256,0.375654259890594,0.265,0.181,1,"2","EWSR1"
"IK",0.00020146265480381,0.252536834812761,0.303,0.218,1,"2","IK"
"DOK21",0.000314666201349036,0.332993427014141,0.311,0.226,1,"2","DOK2"
"DYNLRB1",0.000325475319959046,0.271483317668669,0.366,0.265,1,"2","DYNLRB1"
"TMEM14B",0.00037592009750944,0.27013805784285,0.315,0.223,1,"2","TMEM14B"
"GPSM3",0.000488634806095599,0.265682599483292,0.763,0.645,1,"2","GPSM3"
"S1PR4",0.00050025464096268,0.289636753271463,0.332,0.248,1,"2","S1PR4"
"ACP1",0.000610703719351973,0.275859779096721,0.313,0.22,1,"2","ACP1"
"PDIA3",0.00080503904053599,0.267238595716623,0.42,0.32,1,"2","PDIA3"
"RPS27L",0.000915750694696425,0.361713813912812,0.29,0.208,1,"2","RPS27L"
"FUS",0.00338056043625408,0.446561974589107,0.34,0.265,1,"2","FUS"
"NSA2",0.00404562093613732,0.622625419336526,0.282,0.212,1,"2","NSA2"
"TMEM59",0.00636060501520616,0.262153767347672,0.479,0.381,1,"2","TMEM59"
"STK4",0.00964726681331546,0.261132650517565,0.261,0.195,1,"2","STK4"
"CD79A",0,4.31017162950471,0.936,0.041,0,"3","CD79A"
"MS4A1",0,3.3781495320653,0.855,0.053,0,"3","MS4A1"
"CD79B",2.65597388082529e-274,3.48190840641976,0.916,0.142,3.6424025801638e-270,"3","CD79B"
"LINC00926",2.39762509409901e-272,2.84267675546408,0.564,0.009,3.28810305404738e-268,"3","LINC00926"
"TCL1A",9.48178348771665e-271,3.59157945560685,0.622,0.022,1.30033178750546e-266,"3","TCL1A"
"HLA-DQA1",2.94239518126895e-266,3.05789577399581,0.89,0.118,4.03520075159224e-262,"3","HLA-DQA1"
"VPREB3",2.74501570039047e-237,2.42480646831789,0.488,0.007,3.76451453151549e-233,"3","VPREB3"
"HLA-DQB1",1.17193186890855e-229,3.0768221401113,0.863,0.147,1.60718736502119e-225,"3","HLA-DQB1"
"CD74",5.25573613251938e-185,2.92095674163552,1,0.821,7.20771653213708e-181,"3","CD74"
"HLA-DRA1",1.95194498795634e-183,2.76315203925348,1,0.494,2.67689735648333e-179,"3","HLA-DRA"
"FCER2",2.42006606061893e-170,2.0984575742418,0.381,0.009,3.3188785955328e-166,"3","FCER2"
"HLA-DPB11",2.40627880579874e-165,2.3472044843217,0.985,0.449,3.29997075427239e-161,"3","HLA-DPB1"
"BANK1",3.30065459943718e-159,2.07560708901763,0.483,0.037,4.52651771766815e-155,"3","BANK1"
"HLA-DRB11",5.21401529283008e-154,2.05381540096317,0.983,0.381,7.15050057258717e-150,"3","HLA-DRB1"
"HLA-DPA11",4.61921320379531e-142,1.98817546704118,0.977,0.421,6.33478898768488e-138,"3","HLA-DPA1"
"TSPAN13",4.00716484177643e-138,1.66589841227923,0.311,0.007,5.49542586401219e-134,"3","TSPAN13"
"HLA-DQA2",3.74662820602971e-137,2.10452476895122,0.523,0.065,5.13812592174915e-133,"3","HLA-DQA2"
"FCRLA",7.08341124993792e-135,1.72598445685079,0.297,0.006,9.71419018816486e-131,"3","FCRLA"
"CD37",9.11845573872829e-130,1.91527222366121,0.962,0.741,1.2505050200092e-125,"3","CD37"
"HLA-DRB51",1.08036565911297e-119,1.88017925812413,0.852,0.276,1.48161346490752e-115,"3","HLA-DRB5"
"HVCN1",2.2559761388977e-119,1.86002012238197,0.491,0.068,3.0938456768843e-115,"3","HVCN1"
"PKIG",7.43733395087488e-116,1.49425796315921,0.276,0.008,1.01995597802298e-111,"3","PKIG"
"HLA-DOB",1.14716305419278e-114,1.51211909215965,0.288,0.011,1.57321941251998e-110,"3","HLA-DOB"
"BLK",1.49145634823168e-101,1.47828914638818,0.282,0.015,2.04538323596492e-97,"3","BLK"
"HLA-DMA1",5.30175079184065e-101,1.94565293807456,0.695,0.201,7.27082103593026e-97,"3","HLA-DMA"
"PDLIM1",2.75149105335357e-98,1.39561623919538,0.317,0.024,3.77339483056909e-94,"3","PDLIM1"
"GNG7",3.05733999079669e-98,1.44316526596078,0.288,0.018,4.19283606337858e-94,"3","GNG7"
"CD72",9.25292295036622e-98,1.56159976565194,0.265,0.013,1.26894585341322e-93,"3","CD72"
"HLA-DMB1",1.38542098238373e-92,1.86810312000224,0.549,0.126,1.89996633524105e-88,"3","HLA-DMB"
"P2RX5",3.86705233397005e-87,1.60160023957803,0.273,0.02,5.30327557080652e-83,"3","P2RX5"
"CD40",2.4775735563188e-84,1.32752564502191,0.291,0.026,3.3977443751356e-80,"3","CD40"
"EAF2",1.70670630286118e-74,1.67602928281808,0.352,0.056,2.34057702374383e-70,"3","EAF2"
"PPAPDC1B",6.54295097926382e-71,1.52430242934676,0.314,0.044,8.9730029729624e-67,"3","PPAPDC1B"
"IRF8",3.85473313339085e-69,1.74344283288331,0.375,0.071,5.28638101913221e-65,"3","IRF8"
"RPL18A1",1.79702422647021e-66,0.602815098570612,1,0.993,2.46443902418125e-62,"3","RPL18A"
"CYB561A3",1.3839090720709e-61,1.40304082595006,0.326,0.058,1.89789290143803e-57,"3","CYB561A3"
"QRSL1",3.295027656438e-61,1.34151698460826,0.27,0.037,4.51880092803907e-57,"3","QRSL1"
"MARCH1",2.24367473450352e-57,1.37486704389146,0.282,0.045,3.07697553089813e-53,"3","MARCH1"
"MEF2C",8.51896215096472e-55,1.33327249380206,0.267,0.042,1.1682904693833e-50,"3","MEF2C"
"RPS231",1.60961977292848e-52,0.631022630595519,1,0.98,2.20743255659412e-48,"3","RPS23"
"SMIM14",3.84958995867629e-52,1.48713656765893,0.323,0.069,5.27932766932867e-48,"3","SMIM14"
"RPS11",4.30487619999513e-51,0.683265698052105,0.991,0.943,5.90370722067332e-47,"3","RPS11"
"RPS51",9.2708513043179e-50,0.565871632176806,1,0.976,1.27140454787416e-45,"3","RPS5"
"LY861",5.01291849466356e-49,1.2557940627758,0.465,0.151,6.8747164235816e-45,"3","LY86"
"PLEKHF2",7.75507120787541e-49,1.31508068129053,0.294,0.06,1.06353046544803e-44,"3","PLEKHF2"
"SNX2",6.86371482237248e-46,1.32546110917089,0.471,0.176,9.41289850740161e-42,"3","SNX2"
"LTB2",9.73383757672882e-45,0.737073995204604,0.936,0.669,1.33489848527259e-40,"3","LTB"
"ISG201",2.46549473383095e-39,1.20612266262706,0.695,0.427,3.38117947797577e-35,"3","ISG20"
"NCF11",2.5124332357631e-38,1.17029428698473,0.392,0.132,3.44555093952552e-34,"3","NCF1"
"CXCR41",9.69740706028589e-38,1.11247561383403,0.811,0.569,1.32990240424761e-33,"3","CXCR4"
"RPL13A1",1.39927849572441e-36,0.410946876414448,1,0.999,1.91897052903646e-32,"3","RPL13A"
"SNHG7",1.11172707948385e-35,1.15630183721071,0.5,0.231,1.52462251680415e-31,"3","SNHG7"
"LAPTM5",1.60807939153094e-35,1.0183734483122,0.872,0.781,2.20532007754553e-31,"3","LAPTM5"
"RPS81",7.39113238775133e-35,0.436958217149098,1,0.986,1.01361989565622e-30,"3","RPS8"
"RPL151",1.40144388978692e-33,0.378081240354606,1,0.995,1.92194015045378e-29,"3","RPL15"
"RPL8",3.14680268279265e-31,0.43084424868387,1,0.986,4.31552519918184e-27,"3","RPL8"
"LAT2",2.05314848314741e-29,1.27498935481918,0.25,0.069,2.81568782978836e-25,"3","LAT2"
"FAIM3",4.3165157188514e-29,1.14224404857924,0.41,0.178,5.91966965683281e-25,"3","FAIM3"
"RPL181",1.02437136344517e-26,0.375314668665164,0.994,0.982,1.4048228878287e-22,"3","RPL18"
"RPS272",1.6994101839662e-24,0.372496664994772,0.997,0.993,2.33057112629124e-20,"3","RPS27"
"RPL10A1",4.62209608344289e-24,0.370083663527529,0.997,0.985,6.33874256883358e-20,"3","RPL10A"
"PTPRCAP",1.2999927403886e-23,0.716868723206824,0.843,0.612,1.78281004416893e-19,"3","PTPRCAP"
"STX7",9.73434147554648e-23,0.994611193216079,0.273,0.102,1.33496758995644e-18,"3","STX7"
"CD521",1.00468831339009e-21,0.542559642720096,0.953,0.886,1.37782955298317e-17,"3","CD52"
"GNB2L1",9.95346677967505e-21,0.440435667708648,0.997,0.978,1.36501843416464e-16,"3","GNB2L1"
"SYPL1",1.17812408838646e-20,0.903214703840769,0.297,0.122,1.61567937481319e-16,"3","SYPL1"
"RPSA2",8.94316577229338e-20,0.432575449468403,0.988,0.954,1.22646575401231e-15,"3","RPSA"
"RPL121",1.89854440827665e-19,0.354673749382621,0.997,0.991,2.6036638015106e-15,"3","RPL12"
"LIMD2",1.22427850956703e-18,0.574257958460466,0.756,0.643,1.67897554802022e-14,"3","LIMD2"
"RPL29",1.18814665379558e-17,0.327417719200137,0.997,0.985,1.62942432101526e-13,"3","RPL29"
"BIRC3",4.27906038010517e-17,0.855005620034416,0.262,0.111,5.86830340527623e-13,"3","BIRC3"
"FAU",2.8581190782199e-16,0.308475391781911,0.994,0.983,3.91962450387076e-12,"3","FAU"
"RPS182",6.41174337807629e-16,0.273912027527603,1,0.997,8.79306486869383e-12,"3","RPS18"
"RPL23A2",1.69362833659779e-15,0.29255041264591,1,0.99,2.32264190081021e-11,"3","RPL23A"
"RPS212",2.36037549488975e-15,0.442102069024704,0.907,0.859,3.23701895369181e-11,"3","RPS21"
"PRKCB",3.84929163166316e-15,0.861883647800647,0.265,0.121,5.27891854366286e-11,"3","PRKCB"
"RPL91",9.89556927497899e-15,0.306677693772296,0.997,0.975,1.35707837037062e-10,"3","RPL9"
"RPS131",1.2143257261629e-14,0.338182102206262,0.997,0.963,1.6653263008598e-10,"3","RPS13"
"SNX31",1.21702528166763e-14,0.797332155567957,0.581,0.449,1.66902847127899e-10,"3","SNX3"
"EEF2",2.53875572171969e-14,0.56255818615774,0.866,0.833,3.48164959676638e-10,"3","EEF2"
"FAM26F1",2.93668932503828e-14,0.850455220706693,0.366,0.209,4.0273757403575e-10,"3","FAM26F"
"RPL211",9.33626571367223e-14,0.28249101141957,1,0.992,1.28037547997301e-09,"3","RPL21"
"RPS191",2.48371449259129e-13,0.255269010899189,1,0.993,3.40616605513969e-09,"3","RPS19"
"POLD4",2.75078845936524e-13,0.8210537029972,0.485,0.328,3.77243129317349e-09,"3","POLD4"
"RPL37A1",6.76115093428458e-13,0.321604796825294,0.977,0.952,9.27224239127788e-09,"3","RPL37A"
"PLAC8",7.42373471040702e-13,0.675766984185798,0.576,0.441,1.01809097818522e-08,"3","PLAC8"
"EEF1B21",8.586039183476e-13,0.472024722977895,0.913,0.884,1.1774894136219e-08,"3","EEF1B2"
"GLTSCR21",3.56700563129397e-12,0.359060226291279,0.89,0.825,4.89179152275656e-08,"3","GLTSCR2"
"RPL371",5.3042456789142e-12,0.295662487813892,0.968,0.952,7.27424252406293e-08,"3","RPL37"
"RPL351",5.71226049905156e-12,0.29902199390746,0.98,0.97,7.83379404839931e-08,"3","RPL35"
"RPL22L1",8.60559648307257e-12,0.94778103782731,0.323,0.182,1.18017150168857e-07,"3","RPL22L1"
"RPL51",2.00497621788022e-11,0.276889091690327,0.988,0.972,2.74962438520094e-07,"3","RPL5"
"RCSD1",2.97371771390139e-11,0.706328028929076,0.328,0.199,4.07815647284437e-07,"3","RCSD1"
"SEC62",3.16242143784164e-11,0.747763387623268,0.337,0.205,4.33694475985603e-07,"3","SEC62"
"RPS3A1",6.53013070357599e-11,0.277709500480846,0.991,0.979,8.95542124688412e-07,"3","RPS3A"
"PNISR",1.31234782777673e-10,0.684688473963409,0.477,0.357,1.79975381101301e-06,"3","PNISR"
"BLOC1S2",5.98226464405081e-10,0.726438359512573,0.262,0.147,8.20407773285128e-06,"3","BLOC1S2"
"RPL271",7.1910865715186e-10,0.270252730070583,0.977,0.955,9.8618561241806e-06,"3","RPL27"
"HMGN11",2.09571422930721e-09,0.44093950587302,0.622,0.517,2.87406249407191e-05,"3","HMGN1"
"TMEM243",3.22819989480294e-09,0.636981403393134,0.305,0.189,4.42715333573276e-05,"3","TMEM243"
"RNASEH2B",4.0589571700704e-09,0.535120244021745,0.265,0.152,5.56645386303454e-05,"3","RNASEH2B"
